#zstart1	size2	end1	name2
32164	100	32264	NODE_209_length_70_cov_2.300000
32285	169	32454	NODE_243_length_139_cov_1.661870
32521	100	32621	NODE_40_length_70_cov_1.485714
32667	120	32787	NODE_219_length_90_cov_1.622222
32834	120	32954	NODE_87_length_90_cov_1.733333
32994	287	33281	NODE_85_length_257_cov_1.587549
33672	257	33929	NODE_234_length_227_cov_2.986784
34296	259	34555	NODE_137_length_229_cov_2.004367
34894	101	34995	NODE_32_length_71_cov_1.915493
35078	379	35457	NODE_82_length_349_cov_1.848137
35448	113	35561	NODE_104_length_83_cov_2.481928
35647	97	35744	NODE_227_length_67_cov_1.313433
35821	136	35957	NODE_127_length_106_cov_1.830189
35963	274	36237	NODE_158_length_244_cov_2.577869
36317	132	36449	NODE_166_length_102_cov_2.049020
36459	101	36560	NODE_259_length_71_cov_3.394366
36728	121	36849	NODE_250_length_91_cov_2.021978
36841	100	36941	NODE_305_length_70_cov_2.414286
36999	100	37099	NODE_280_length_70_cov_2.214286
37407	689	38096	NODE_66_length_659_cov_2.280728
38266	140	38406	NODE_242_length_110_cov_1.236364
38692	272	38964	NODE_146_length_242_cov_1.433884
40279	261	40540	NODE_46_length_231_cov_2.259740
40615	100	40715	NODE_298_length_70_cov_1.342857
41138	264	41402	NODE_106_length_234_cov_3.358974
41386	211	41597	NODE_14_length_181_cov_1.541436
41864	100	41964	NODE_216_length_70_cov_2.214286
41998	104	42102	NODE_244_length_74_cov_2.554054
42335	106	42441	NODE_126_length_76_cov_1.842105
42414	272	42686	NODE_190_length_242_cov_1.446281
42763	262	43025	NODE_55_length_232_cov_1.159483
43068	100	43168	NODE_135_length_70_cov_1.928571
43190	100	43290	NODE_285_length_70_cov_1.985714
43820	224	44044	NODE_49_length_194_cov_1.742268
44348	169	44517	NODE_196_length_139_cov_1.007194
44497	99	44596	NODE_171_length_69_cov_1.956522
44643	100	44743	NODE_278_length_70_cov_2.985714
45652	102	45754	NODE_122_length_72_cov_1.013889
46026	255	46281	NODE_200_length_225_cov_1.720000
46320	165	46485	NODE_186_length_135_cov_2.037037
46491	214	46705	NODE_62_length_184_cov_1.820652
46967	261	47228	NODE_110_length_231_cov_2.337662
47249	107	47356	NODE_10_length_77_cov_2.467532
48144	191	48335	NODE_235_length_161_cov_1.881988
48364	148	48512	NODE_92_length_118_cov_2.754237
48531	202	48733	NODE_287_length_172_cov_2.383721
48741	102	48843	NODE_193_length_72_cov_1.916667
48890	100	48990	NODE_165_length_70_cov_2.485714
49008	100	49108	NODE_274_length_70_cov_1.771429
49323	263	49586	NODE_148_length_233_cov_1.343348
49638	243	49881	NODE_119_length_213_cov_1.619718
50145	117	50262	NODE_113_length_87_cov_1.586207
50381	274	50655	NODE_177_length_244_cov_1.372951
50864	114	50978	NODE_267_length_84_cov_1.035714
50965	372	51337	NODE_120_length_342_cov_1.602339
51423	454	51877	NODE_101_length_424_cov_2.259434
51892	100	51992	NODE_271_length_70_cov_2.057143
53209	96	53305	NODE_306_length_66_cov_2.000000
53281	199	53480	NODE_212_length_169_cov_1.952663
53457	100	53557	NODE_251_length_70_cov_2.442857
53606	105	53711	NODE_129_length_75_cov_2.333333
53682	207	53889	NODE_228_length_177_cov_1.497175
53866	113	53979	NODE_260_length_83_cov_2.240964
54015	104	54119	NODE_74_length_74_cov_3.081081
54132	100	54232	NODE_231_length_70_cov_2.000000
54237	95	54332	NODE_109_length_65_cov_1.569231
54376	100	54476	NODE_229_length_70_cov_1.457143
54556	335	54891	NODE_150_length_305_cov_2.642623
55056	100	55156	NODE_273_length_70_cov_1.485714
55195	100	55295	NODE_100_length_70_cov_1.557143
55753	589	56342	NODE_70_length_559_cov_3.220036
56726	100	56826	NODE_214_length_70_cov_1.685714
57015	123	57138	NODE_257_length_93_cov_2.010753
57169	99	57268	NODE_73_length_69_cov_1.782609
57298	135	57433	NODE_265_length_105_cov_1.552381
57436	285	57721	NODE_125_length_255_cov_1.478431
58130	100	58230	NODE_303_length_70_cov_2.142857
58243	206	58449	NODE_145_length_176_cov_2.386364
58650	320	58970	NODE_107_length_290_cov_1.810345
59039	127	59166	NODE_188_length_97_cov_2.247423
59181	132	59313	NODE_134_length_102_cov_2.098039
59342	133	59475	NODE_223_length_103_cov_1.174757
59454	115	59569	NODE_277_length_85_cov_2.470588
59593	100	59693	NODE_115_length_70_cov_1.685714
60109	129	60238	NODE_58_length_99_cov_1.313131
60383	94	60477	NODE_180_length_64_cov_2.000000
60587	155	60742	NODE_53_length_125_cov_1.232000
60747	140	60887	NODE_88_length_110_cov_1.500000
60945	108	61053	NODE_84_length_78_cov_2.705128
61067	100	61167	NODE_266_length_70_cov_1.957143
61789	998	62787	NODE_9_length_968_cov_1.780992
62799	206	63005	NODE_191_length_176_cov_1.687500
63015	510	63525	NODE_79_length_480_cov_2.275000
63552	120	63672	NODE_141_length_90_cov_2.655555
64081	100	64181	NODE_192_length_70_cov_2.200000
64241	100	64341	NODE_59_length_70_cov_1.400000
64328	100	64428	NODE_199_length_70_cov_1.800000
64708	100	64808	NODE_221_length_70_cov_1.857143
64816	122	64938	NODE_254_length_92_cov_2.815217
65239	115	65354	NODE_167_length_85_cov_1.364706
65405	95	65500	NODE_13_length_65_cov_1.415385
65541	211	65752	NODE_56_length_181_cov_1.430939
65840	100	65940	NODE_304_length_70_cov_1.785714
65984	140	66124	NODE_181_length_110_cov_2.063636
66215	378	66593	NODE_8_length_348_cov_1.982759
66575	61	66636	NODE_253_length_31_cov_1.290323
66606	72	66678	NODE_281_length_42_cov_2.523809
66660	61	66721	NODE_54_length_31_cov_1.064516
67081	231	67312	NODE_175_length_201_cov_2.980099
68273	453	68726	NODE_34_length_423_cov_2.685579
68792	219	69011	NODE_131_length_189_cov_1.423280
69907	318	70225	NODE_1_length_288_cov_2.038194
70257	290	70547	NODE_20_length_260_cov_2.053846
71633	100	71733	NODE_95_length_70_cov_2.228571
71761	96	71857	NODE_208_length_66_cov_1.121212
71844	210	72054	NODE_99_length_180_cov_1.450000
72048	100	72148	NODE_272_length_70_cov_1.800000
72205	131	72336	NODE_249_length_101_cov_1.247525
72346	163	72509	NODE_50_length_133_cov_1.947368
72764	122	72886	NODE_185_length_92_cov_1.369565
73155	199	73354	NODE_116_length_169_cov_1.875740
73437	224	73661	NODE_72_length_194_cov_1.195876
74219	205	74424	NODE_173_length_175_cov_1.588571
74550	116	74666	NODE_238_length_86_cov_1.476744
75069	318	75387	NODE_111_length_288_cov_2.034722
75719	262	75981	NODE_133_length_232_cov_2.327586
75967	341	76308	NODE_169_length_311_cov_1.787781
76391	100	76491	NODE_245_length_70_cov_2.271429
76544	100	76644	NODE_43_length_70_cov_1.585714
76708	100	76808	NODE_258_length_70_cov_1.828571
76820	102	76922	NODE_183_length_72_cov_3.680556
76915	136	77051	NODE_21_length_106_cov_2.471698
77063	101	77164	NODE_26_length_71_cov_2.323944
77597	101	77698	NODE_197_length_71_cov_2.464789
77709	139	77848	NODE_299_length_109_cov_1.871560
77826	100	77926	NODE_205_length_70_cov_1.900000
77925	679	78604	NODE_7_length_649_cov_3.714946
78686	269	78955	NODE_63_length_239_cov_1.380753
79175	102	79277	NODE_16_length_72_cov_1.569444
79278	103	79381	NODE_232_length_73_cov_1.917808
79501	275	79776	NODE_44_length_245_cov_1.885714
79748	92	79840	NODE_75_length_62_cov_2.596774
79888	96	79984	NODE_262_length_66_cov_2.636364
80062	302	80364	NODE_45_length_272_cov_1.555147
80553	320	80873	NODE_164_length_290_cov_1.637931
81102	133	81235	NODE_69_length_103_cov_1.359223
81813	129	81942	NODE_90_length_99_cov_1.747475
81985	100	82085	NODE_182_length_70_cov_1.457143
82557	264	82821	NODE_184_length_234_cov_1.192308
82915	305	83220	NODE_42_length_275_cov_2.032727
83299	398	83697	NODE_97_length_368_cov_2.062500
84147	306	84453	NODE_2_length_276_cov_1.771739
84701	119	84820	NODE_290_length_89_cov_2.303371
84833	103	84936	NODE_143_length_73_cov_2.534247
85060	144	85204	NODE_64_length_114_cov_2.105263
85177	201	85378	NODE_195_length_171_cov_2.619883
85373	229	85602	NODE_51_length_199_cov_1.718593
85811	280	86091	NODE_11_length_250_cov_2.240000
86103	100	86203	NODE_282_length_70_cov_1.742857
86219	126	86345	NODE_132_length_96_cov_1.708333
86536	277	86813	NODE_233_length_247_cov_1.700405
87135	193	87328	NODE_222_length_163_cov_1.496933
87336	321	87657	NODE_203_length_291_cov_1.945017
87697	100	87797	NODE_128_length_70_cov_2.000000
88622	576	89198	NODE_52_length_546_cov_2.564103
89183	232	89415	NODE_123_length_202_cov_2.975248
89408	138	89546	NODE_174_length_108_cov_1.703704
89580	100	89680	NODE_114_length_70_cov_1.900000
89884	118	90002	NODE_81_length_88_cov_2.386364
89997	266	90263	NODE_157_length_236_cov_2.072034
90415	93	90508	NODE_147_length_63_cov_1.952381
91308	205	91513	NODE_5_length_175_cov_1.548571
91487	104	91591	NODE_236_length_74_cov_1.162162
91589	126	91715	NODE_47_length_96_cov_1.447917
91848	120	91968	NODE_283_length_90_cov_1.455556
91954	105	92059	NODE_213_length_75_cov_1.280000
92232	272	92504	NODE_170_length_242_cov_1.599174
92921	119	93040	NODE_247_length_89_cov_2.516854
93047	145	93192	NODE_220_length_115_cov_2.556522
93841	248	94089	NODE_39_length_218_cov_1.490826
94296	209	94505	NODE_76_length_179_cov_2.106145
94556	100	94656	NODE_284_length_70_cov_1.500000
95416	100	95516	NODE_121_length_70_cov_1.714286
95511	129	95640	NODE_279_length_99_cov_1.949495
95703	218	95921	NODE_93_length_188_cov_1.404255
95940	100	96040	NODE_27_length_70_cov_1.828571
96033	131	96164	NODE_155_length_101_cov_2.079208
96284	100	96384	NODE_80_length_70_cov_1.600000
96440	95	96535	NODE_263_length_65_cov_1.369231
96581	120	96701	NODE_172_length_90_cov_2.300000
96715	150	96865	NODE_15_length_120_cov_2.925000
96931	94	97025	NODE_140_length_64_cov_1.625000
97517	269	97786	NODE_187_length_239_cov_2.535565
97778	123	97901	NODE_302_length_93_cov_1.505376
98296	98	98394	NODE_297_length_68_cov_1.735294
98439	100	98539	NODE_189_length_70_cov_2.085714
98649	98	98747	NODE_268_length_68_cov_1.779412
98776	112	98888	NODE_210_length_82_cov_2.353658
99146	93	99239	NODE_289_length_63_cov_1.952381
99264	104	99368	NODE_206_length_74_cov_1.891892
99351	136	99487	NODE_230_length_106_cov_1.660377
99539	143	99682	NODE_57_length_113_cov_1.336283
278728	64	278792	NODE_35_length_34_cov_3.647059
385488	122	385583	NODE_185_length_92_cov_1.369565
607218	431	607255	NODE_25_length_401_cov_3.047382
608548	976	608584	NODE_18_length_946_cov_2.979915
698641	272	698727	NODE_224_length_242_cov_3.380165
1049362	64	1049426	NODE_35_length_34_cov_3.647059
1462512	379	1462787	NODE_82_length_349_cov_1.848137
1775207	261	1775326	NODE_46_length_231_cov_2.259740
2302438	72	2302528	NODE_281_length_42_cov_2.523809
2512284	976	2513260	NODE_18_length_946_cov_2.979915
2655627	331	2655955	NODE_4_length_301_cov_3.019933
2656255	355	2656582	NODE_68_length_325_cov_2.083077
3201161	201	3201248	NODE_194_length_171_cov_1.777778
3477683	202	3477870	NODE_287_length_172_cov_2.383721
3477891	148	3478039	NODE_92_length_118_cov_2.754237
3581452	390	3581842	NODE_156_length_360_cov_5.808333
3581812	64	3581876	NODE_154_length_34_cov_8.882353
3581846	363	3582209	NODE_142_length_333_cov_7.543543
3672403	201	3672495	NODE_194_length_171_cov_1.777778
3748080	378	3748431	NODE_8_length_348_cov_1.982759
3748538	140	3748674	NODE_181_length_110_cov_2.063636
3748718	100	3748805	NODE_304_length_70_cov_1.785714
3850318	280	3850598	NODE_11_length_250_cov_2.240000
3982240	201	3982345	NODE_194_length_171_cov_1.777778
4315945	61	4316002	NODE_253_length_31_cov_1.290323
4315945	61	4316002	NODE_54_length_31_cov_1.064516
