#zstart1	size2	end1	name2
33663	418	34081	NODE_30_length_418_cov_1.451791
34296	359	34655	NODE_50_length_359_cov_1.174342
34837	235	35072	NODE_112_length_235_cov_0.905556
35069	492	35561	NODE_21_length_492_cov_1.192220
35963	371	36334	NODE_45_length_371_cov_1.544304
36834	266	37100	NODE_96_length_266_cov_1.236967
37407	689	38096	NODE_12_length_689_cov_1.503155
38191	215	38406	NODE_123_length_215_cov_0.812500
38692	272	38964	NODE_92_length_272_cov_1.023041
40279	441	40720	NODE_27_length_441_cov_1.069948
41138	264	41402	NODE_97_length_264_cov_2.234450
41386	279	41665	NODE_88_length_279_cov_0.950893
42335	351	42686	NODE_56_length_351_cov_1.064189
42763	262	43025	NODE_100_length_262_cov_0.816425
43820	224	44044	NODE_118_length_224_cov_1.260355
44348	280	44628	NODE_87_length_280_cov_0.817778
46026	292	46318	NODE_79_length_292_cov_1.025316
46476	229	46705	NODE_114_length_229_cov_1.183908
46967	275	47242	NODE_91_length_275_cov_1.609091
48126	387	48513	NODE_37_length_387_cov_1.222892
49286	300	49586	NODE_74_length_300_cov_0.918367
49638	243	49881	NODE_107_length_243_cov_1.170213
50381	284	50665	NODE_85_length_284_cov_0.960699
50965	372	51337	NODE_44_length_372_cov_1.097792
51423	587	52010	NODE_14_length_587_cov_1.385338
53209	794	54003	NODE_7_length_794_cov_1.148850
54237	239	54476	NODE_110_length_239_cov_0.951087
54556	335	54891	NODE_64_length_335_cov_1.807143
55753	635	56388	NODE_13_length_635_cov_2.018966
57015	706	57721	NODE_11_length_706_cov_0.946237
58112	337	58449	NODE_62_length_337_cov_1.429078
58650	355	59005	NODE_54_length_355_cov_1.200000
59005	341	59346	NODE_61_length_341_cov_1.178322
59342	227	59569	NODE_116_length_227_cov_1.197674
60501	241	60742	NODE_109_length_241_cov_0.903226
60724	209	60933	NODE_127_length_209_cov_0.870130
61789	1737	63526	NODE_1_length_1737_cov_1.140904
64208	220	64428	NODE_120_length_220_cov_0.884848
65541	211	65752	NODE_124_length_211_cov_1.019231
65965	1084	66656	NODE_3_length_1084_cov_1.084548
66648	1084	66741	NODE_3_length_1084_cov_1.084548
67081	231	67312	NODE_113_length_231_cov_2.125000
68273	453	68726	NODE_25_length_453_cov_1.786432
68722	289	69011	NODE_82_length_289_cov_0.914530
69907	355	70262	NODE_52_length_355_cov_1.330000
70257	297	70554	NODE_76_length_297_cov_1.409091
71844	210	72054	NODE_126_length_210_cov_0.909677
73430	368	73798	NODE_46_length_368_cov_0.814696
74219	298	74517	NODE_75_length_298_cov_1.065844
75069	351	75420	NODE_55_length_351_cov_1.331081
75719	262	75981	NODE_99_length_262_cov_1.642512
75967	418	76385	NODE_31_length_418_cov_1.104683
76387	257	76644	NODE_103_length_257_cov_1.113861
77597	335	77932	NODE_65_length_335_cov_1.260714
77925	718	78643	NODE_8_length_718_cov_2.304676
78666	289	78955	NODE_81_length_289_cov_0.961538
79501	347	79848	NODE_57_length_347_cov_1.304795
79880	484	80364	NODE_22_length_484_cov_1.027972
80553	328	80881	NODE_66_length_328_cov_1.128205
81024	211	81235	NODE_125_length_211_cov_0.865385
81813	302	82115	NODE_73_length_302_cov_0.923077
82494	327	82821	NODE_68_length_327_cov_0.797794
82915	305	83220	NODE_71_length_305_cov_1.436000
83290	407	83697	NODE_33_length_407_cov_1.346591
84147	385	84532	NODE_38_length_385_cov_1.087879
84701	308	85009	NODE_70_length_308_cov_1.245059
85022	712	85734	NODE_10_length_712_cov_1.171994
85748	343	86091	NODE_59_length_343_cov_1.381944
86103	242	86345	NODE_108_length_242_cov_1.053476
86536	277	86813	NODE_89_length_277_cov_1.216216
87135	532	87667	NODE_18_length_532_cov_1.098532
88622	1083	89705	NODE_4_length_1083_cov_1.457198
89997	266	90263	NODE_95_length_266_cov_1.488152
90810	207	91017	NODE_128_length_207_cov_0.592105
91307	284	91591	NODE_86_length_284_cov_0.947598
92232	359	92591	NODE_51_length_359_cov_0.960526
93841	303	94144	NODE_72_length_303_cov_0.927419
94296	360	94656	NODE_49_length_360_cov_1.124590
95416	224	95640	NODE_119_length_224_cov_1.201183
95703	218	95921	NODE_122_length_218_cov_1.006135
95940	224	96164	NODE_117_length_224_cov_1.331361
96581	308	96889	NODE_69_length_308_cov_1.478261
97494	296	97790	NODE_77_length_296_cov_1.589212
278384	842	279152	NODE_6_length_842_cov_3.701398
607181	1409	607255	NODE_2_length_1409_cov_1.864106
608548	1409	608584	NODE_2_length_1409_cov_1.864106
698641	276	698727	NODE_90_length_276_cov_2.361991
1462512	492	1462794	NODE_21_length_492_cov_1.192220
1775207	441	1775326	NODE_27_length_441_cov_1.069948
1976526	842	1977292	NODE_6_length_842_cov_3.701398
2302804	1084	2302925	NODE_3_length_1084_cov_1.084548
2655619	366	2655955	NODE_47_length_366_cov_1.909968
2656236	374	2656582	NODE_41_length_374_cov_1.329154
3201161	362	3201249	NODE_48_length_362_cov_1.078176
3477890	387	3478263	NODE_37_length_387_cov_1.222892
3581452	842	3582222	NODE_6_length_842_cov_3.701398
3672403	362	3672496	NODE_48_length_362_cov_1.078176
3748080	1084	3748693	NODE_3_length_1084_cov_1.084548
3850318	343	3850648	NODE_59_length_343_cov_1.381944
3982240	362	3982350	NODE_48_length_362_cov_1.078176
